"acceptance_status","bibkey","official_tier","file_path","filename","paper_identity_confirmed","section_structure","vocabulary_3way","W_family_present","overclaim_warned","prompt_used","metadata_warning","notes"
"ACCEPTED","aabergeEvaluatingAlternativeRepresentations2009","T1A","JMP_literature/03_summaries/T1A/Aaberge_et_al_2009.md","Aaberge_et_al_2009.md","yes","all_17_sections","yes","yes","yes","T1","ad-hoc bibkey in metadata","Official T1A. Choice-set construction summary accepted."
"ACCEPTED","audolyPractitionersNoteShapleyOwenShorrocks2025","T1A","JMP_literature/03_summaries/T1A/Audoly_et_al_2025.md","Audoly_et_al_2025.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1A. Shapley-Owen-Shorrocks operational recipe accepted."
"ACCEPTED","bargainWelfareLaborSupply2013","T1A","JMP_literature/03_summaries/T1A/Bargain_et_al_2013.md","Bargain_et_al_2013.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1A. Canonical equivalent-income benchmark accepted."
"ACCEPTED","bhattacharyaNonparametricWelfareAnalysis2015","T1A","JMP_literature/03_summaries/T1A/Bhattacharya_2015.md","Bhattacharya_2015.md","yes","all_17_sections","yes","yes","yes","T1","JSTOR URL and DOI should be verified before citation","Official T1A. Nonparametric discrete-choice welfare summary accepted."
"ACCEPTED","capeauEstimatingSimulatingRandom2015","T1A","JMP_literature/03_summaries/T1A/Capeau_et_al_2015_RURO.md","Capeau_et_al_2015_RURO.md","yes","all_17_sections","yes","yes","yes","T1","outlet year 2016 vs project bibkey year 2015","Official T1A. RURO estimation recipe accepted."
"ACCEPTED","cappauGettingTiredWork2015","T1A","JMP_literature/03_summaries/T1A/Capeau_Decoster_2016.md","Capeau_Decoster_2016.md","yes","all_17_sections","yes","yes","yes","T1","bib author corruption and 2015 vs 2016 version warning","Official T1A. Content accepted; fix BibTeX before citation."
"ACCEPTED","dagsvikCompensatingVariationHicksian2005","T1A","JMP_literature/03_summaries/T1A/Dagsvik_Karlstrom_2005.md","Dagsvik_Karlstrom_2005.md","yes","all_17_sections","yes","yes","yes","T1","JSTOR URL only; DOI not confirmed","Official T1A. Hicksian CV welfare apparatus accepted."
"ACCEPTED","dagsvikLaborSupplyChoice2016","T1A","JMP_literature/03_summaries/T1A/Dagsvik_Jia_2016_latent_jobs.md","Dagsvik_Jia_2016_latent_jobs.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1A. Core latent-jobs identification benchmark accepted."
"ACCEPTED","dagsvikTHEORETICALPRACTICALARGUMENTS2014","T1A","JMP_literature/03_summaries/T1A/Dagsvik_et_al_2014_latent_jobs_arguments.md","Dagsvik_et_al_2014_latent_jobs_arguments.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1A. Latent-jobs arguments summary accepted."
"ACCEPTED","jacquetHowMuchDoes2026","T1A","JMP_literature/03_summaries/T1A/Jacquet_Jia_Thoresen_2026.md","Jacquet_Jia_Thoresen_2026.md","yes","all_17_sections","yes","yes","yes","T1","DOI or SSRN status should be verified before citation","Official T1A. Nearest-competitor summary accepted."
"ACCEPTED","sastreShapleyInequalityDecomposition2002","T1A","JMP_literature/03_summaries/T1A/Sastre_Trannoy_2002.md","Sastre_Trannoy_2002.md","yes","all_17_sections","yes","yes","yes","T1","DOI not confirmed; filename-origin note is informational","Official T1A. Current filename matches content."
"ACCEPTED","shorrocksDecompositionProceduresDistributional2013","T1A","JMP_literature/03_summaries/T1A/Shorrocks_2013.md","Shorrocks_2013.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1A. Unified decomposition framework accepted."
"ACCEPTED","shorrocksInequalityDecompositionFactor1982","T1A","JMP_literature/03_summaries/T1A/Shorrocks_1982.md","Shorrocks_1982.md","yes","all_17_sections","yes","yes","yes","T1","JSTOR or DOI metadata should be verified before citation","Official T1A. Factor-decomposition foundation accepted."
"ACCEPTED","aabergeColombinoStructural2018","T1B","JMP_literature/03_summaries/T1B/Aaberge_Colombino_2018.md","Aaberge_Colombino_2018.md","yes","all_17_sections","yes","yes","yes","T1","no BibTeX entry; fix before citation","Official T1B. Structural labour supply and microsimulation anchor accepted."
"ACCEPTED","aabergeLaborSupply1995","T1B","JMP_literature/03_summaries/T1B/Aaberge_Dagsvik_Strom_1995.md","Aaberge_Dagsvik_Strom_1995.md","yes","all_17_sections","yes","yes","yes","T1","no BibTeX entry; JSTOR URL only; fix before citation","Official T1B. Original RURO paper accepted."
"ACCEPTED","aabergeUsingMicroeconometricModel2013","T1B","JMP_literature/03_summaries/T1B/Aaberge_Colombino_2013.md","Aaberge_Colombino_2013.md","yes","all_17_sections","yes","yes","yes","T1","ad-hoc bibkey and W_k notation warning present","Official T1B. Published RURO benchmark accepted."
"ACCEPTED","beffyLabourSupplyTaxation2019","T1B","JMP_literature/03_summaries/T1B/Beffy_et_al_2019.md","Beffy_et_al_2019.md","yes","all_17_sections","yes","yes","yes","T1","in-press pagination vs published pagination","Official T1B. Restricted-choice identification summary accepted."
"ACCEPTED","bhattacharyaEmpiricalWelfareAnalysis2018","T1B","JMP_literature/03_summaries/T1B/Bhattacharya_2018.md","Bhattacharya_2018.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1B. Empirical welfare analysis summary accepted."
"ACCEPTED","capeauNonparametricWelfareAnalysis2021","T1B","JMP_literature/03_summaries/T1B/Capeau_et_al_2021.md","Capeau_et_al_2021.md","yes","all_17_sections","yes","yes","yes","T1","none","Official T1B. Fleurbaey-style discrete-choice welfare accepted."
