"priority","repair_type","file_path","current_filename","target_filename","bibkey_affected","issue","action","blocks_indexing","blocks_citing","blocks_reading","prerequisite"
"1","bib_entry_missing","JMP_literature/03_summaries/T1B/Aaberge_Colombino_2018.md","Aaberge_Colombino_2018.md","Aaberge_Colombino_2018.md","aabergeColombinoStructural2018","No BibTeX entry in JMP_lit_collection.bib. Summary is usable for reading and indexing but should not be cited until a bib entry exists.","Add BibTeX entry for Aaberge and Colombino 2018 Structural Labour Supply Models and Microsimulation.","no","yes","no","none"
"2","bib_entry_missing","JMP_literature/03_summaries/T1B/Aaberge_Dagsvik_Strom_1995.md","Aaberge_Dagsvik_Strom_1995.md","Aaberge_Dagsvik_Strom_1995.md","aabergeLaborSupply1995","No BibTeX entry in JMP_lit_collection.bib. Summary is usable for reading and indexing but should not be cited until a bib entry exists.","Add BibTeX entry for Aaberge Dagsvik and Strom 1995 Labor Supply Responses and Welfare Effects of Tax Reforms.","no","yes","no","none"
"3","bib_author_corruption","JMP_literature/03_summaries/T1A/Capeau_Decoster_2016.md","Capeau_Decoster_2016.md","Capeau_Decoster_2016.md","cappauGettingTiredWork2015","Bib entry has corrupted author strings and a 2015 vs 2016 version ambiguity. Summary content is usable.","Correct the BibTeX author metadata and settle the working-paper/version year before citation.","no","yes","no","none"
"4","metadata_adhoc_bibkeys","JMP_literature/03_summaries/ [all accepted official and supplementary files]","all accepted files","no filename change","all","Some metadata sections use ad-hoc BibTeX keys rather than canonical keys. This does not affect summary content or indexing.","Reconcile summary metadata keys with canonical keys when the BibTeX repair queue is applied.","no","no","no","bib_repair_queue_applied_first"
"5","doi_missing_or_verify","JMP_literature/03_summaries/T1A/Dagsvik_Karlstrom_2005.md","Dagsvik_Karlstrom_2005.md","Dagsvik_Karlstrom_2005.md","dagsvikCompensatingVariationHicksian2005","Source summary records JSTOR URL only and no confirmed DOI.","Verify DOI metadata before final citation if a DOI exists.","no","yes","no","none"
"6","doi_missing_or_verify","JMP_literature/03_summaries/T1A/Shorrocks_1982.md","Shorrocks_1982.md","Shorrocks_1982.md","shorrocksInequalityDecompositionFactor1982","DOI or JSTOR metadata should be verified before final citation.","Verify DOI/JSTOR metadata before final citation.","no","yes","no","none"
"7","doi_missing_or_verify","JMP_literature/03_summaries/T1A/Sastre_Trannoy_2002.md","Sastre_Trannoy_2002.md","Sastre_Trannoy_2002.md","sastreShapleyInequalityDecomposition2002","No DOI is confirmed in the summary. Filename-origin note is informational and does not require a filename change.","Verify DOI metadata before final citation if a DOI exists.","no","yes","no","none"
"8","doi_missing_or_verify","JMP_literature/03_summaries/T1A/Jacquet_Jia_Thoresen_2026.md","Jacquet_Jia_Thoresen_2026.md","Jacquet_Jia_Thoresen_2026.md","jacquetHowMuchDoes2026","SSRN or DOI status remains marked for verification.","Verify final DOI or SSRN citation status before final citation.","no","yes","no","none"
"9","doi_missing_or_verify","JMP_literature/03_summaries/T1A/Bhattacharya_2015.md","Bhattacharya_2015.md","Bhattacharya_2015.md","bhattacharyaNonparametricWelfareAnalysis2015","Summary records JSTOR URL and asks to verify the Econometrica DOI.","Verify DOI metadata before final citation.","no","yes","no","none"
"10","outlet_year_verify","JMP_literature/03_summaries/T1A/Capeau_et_al_2015_RURO.md","Capeau_et_al_2015_RURO.md","Capeau_et_al_2015_RURO.md","capeauEstimatingSimulatingRandom2015","Project bibkey uses 2015 while the journal outlet year is 2016. Summary records both.","Settle bib year/outlet convention before final citation.","no","yes","no","none"
"11","pagination_warning","JMP_literature/03_summaries/T1B/Beffy_et_al_2019.md","Beffy_et_al_2019.md","Beffy_et_al_2019.md","beffyLabourSupplyTaxation2019","Summary notes in-press pagination vs published pagination.","Verify final published pagination before citation.","no","yes","no","none"
"12","version_warning","JMP_literature/03_summaries/T1B/Sutherland_Figari_2013.md","Sutherland_Figari_2013.md","Sutherland_Figari_2013.md","sutherlandEUROMODEuropeanUnion2013","WP vs journal-version citation choice should be settled. Summary content correctly treats the paper as EUROMOD infrastructure.","Choose authoritative version before citation.","no","yes","no","none"
