source_id,bibtex_key,author_year,title,authors,year,publication_type,journal_or_source,DOI_or_URL,has_bibtex,has_pdf,appears_in_full_literature_md,appears_in_deep_research_reports,likely_JMP_bucket,preliminary_tier,notes,metadata_problems
1,aabergeAccountingFamilyBackground2012,Aaberge & Colombino 2012,Accounting for Family Background When Designing Optimal Income Taxes: A Microeconometric Simulation Analysis,"Aaberge, Rolf; Colombino, Ugo",2012,journal article,Journal of Population Economics,https://doi.org/10.1007/s00148-010-0331-y,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 2,Extends Roemer EOp to family background in RURO framework; Norway data,
2,aabergeDesigningOptimalTaxes2006,Aaberge & Colombino 2006,Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply,"Aaberge, Rolf; Colombino, Ugo",2006,working paper,Discussion Papers (Econstor),https://www.econstor.eu/handle/10419/192457,yes,yes,yes,yes,structural_labor_supply,Tier 2,Early version of optimal tax with RURO; Norway 1994,
3,aabergeEmpiricalOptimalIncome2011,Aaberge & Colombino 2011,Empirical Optimal Income Taxation: A Microeconometric Application to Norway,"Aaberge, Rolf; Colombino, Ugo",2011,working paper,CHILD Working Papers,https://ideas.repec.org//p/wpc/wplist/wp16_11.html,yes,yes,yes,yes,structural_labor_supply,Tier 2,9-parameter optimal tax via RURO; Norway 1994,
4,aabergeEvaluatingAlternativeRepresentations2009,Aaberge et al. 2009,Evaluating Alternative Representations of the Choice Sets in Models of Labor Supply,"Aaberge, Rolf; Colombino, Ugo; Wennemo, Tommy",2009,journal article,Journal of Economic Surveys,https://doi.org/10.1111/j.1467-6419.2008.00573.x,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Key paper on choice-set specification; fixed vs sampled alternatives; central to RURO,duplicate PDF paths in bib (files/1086 and files/1174)
5,aabergeLaborSupplyResponses2000,Aaberge et al. 2000,Labor Supply Responses and Welfare Effects from Replacing Current Tax Rules by a Flat Tax,"Aaberge, Rolf; Colombino, Ugo; Strøm, Steinar",2000,journal article,Journal of Population Economics,https://doi.org/10.1007/s001480050153,yes,yes,yes,yes,structural_labor_supply,Tier 2,Italy/Norway/Sweden flat-tax reform; welfare effects from RURO,
6,aabergeMoreEqualSlices2004,Aaberge et al. 2004,Do More Equal Slices Shrink the Cake? An Empirical Investigation of Tax-Transfer Reform Proposals in Italy,"Aaberge, Rolf; Colombino, Ugo; Strøm, Steinar",2004,journal article,Journal of Population Economics,https://doi.org/10.1007/s00148-004-0193-2,yes,yes,yes,yes,structural_labor_supply,Tier 2,Tax reform welfare effects; married couples Italy; constrained labor supply,
7,aabergeUsingMicroeconometricModel2013,Aaberge & Colombino 2013,Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes,"Aaberge, Rolf; Colombino, Ugo",2013,journal article,Scandinavian Journal of Economics,https://doi.org/10.1111/sjoe.12015,yes,yes,yes,yes,structural_labor_supply,Tier 1,Published version of optimal-tax exercise; Norway 1994; benchmark RURO paper,
8,almasMeasuringUnfairInequality2011,Almås et al. 2011,Measuring Unfair (in)Equality,"Almås, Ingvild; Cappelen, Alexander W.; Lind, Jo Thori; Sørensen, Erik Ø.; Tungodden, Bertil",2011,journal article,Journal of Public Economics,https://doi.org/10.1016/j.jpubeco.2010.11.002,yes,yes,no,yes,responsibility_equality_of_opportunity,Tier 2,Responsibility-sensitive inequality measurement; Norway unfairness Gini,no PDF in Literature/ folder — only in bib files/ path
9,anandMeasuringWelfareLatent2011,Anand et al. 2011,Measuring Welfare: Latent Variable Models for Happiness and Capabilities in the Presence of Unobservable Heterogeneity,"Anand, Paul; Krishnakumar, Jaya; Tran, Ngoc Bich",2011,journal article,Journal of Public Economics,https://doi.org/10.1016/j.jpubeco.2010.11.007,yes,yes,no,no,money_metric_equivalent_income,not_central_or_background,Capabilities approach with GLLAMM; not closely aligned with JMP,no PDF in Literature/ folder
10,audolyPractitionersNoteShapleyOwenShorrocks2025,Audoly et al. 2025,A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition,"Audoly, Richard; McGee, Rory; Ocampo-Diaz, Sergio; Paz-Pardo, Gonzalo",2025,preprint,SSRN,https://doi.org/10.2139/ssrn.5393619,yes,yes,yes,yes,Shapley_decomposition_inequality,Tier 1,Directly operationalizes Shapley-Owen for structural models; central to decomposition chapter,
