bibkey,author_year,title,current_tier_from_tiers_csv,preliminary_tier_from_inventory,final_recommended_tier,priority_rank,JMP_component,literature_bucket,extraction_prompt,pdf_status,md_extraction_status,bibtex_status,cite_for,do_not_cite_for,overclaim_warning,extraction_status,notes,metadata_needs_verification
dagsvikLaborSupplyChoice2016,Dagsvik & Jia 2016,Labor Supply as a Choice Among Latent Jobs: Unobserved Heterogeneity and Identification,T1,Tier 1,T1A,1,model;identification,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,clean,latent-jobs factorization; identification of preferences vs opportunity density; Norwegian couples,as a source for the JMP three-way access/ability/preference cut (it has a two-way preference/opportunity split only),do not present their identification as transporting to a single France cross-section without a panel -- flag the gap,pending,Core identification benchmark for the RURO model; couples joint choice,no
dagsvikTHEORETICALPRACTICALARGUMENTS2014,Dagsvik et al. 2014,Theoretical and Practical Arguments for Modeling Labor Supply as a Choice Among Latent Jobs,T1,Tier 1,T1A,2,model;motivation,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,clean,manifesto/justification for latent-jobs over Van Soest/Hausman; opportunity-density interpretation; functional-form arguments,"as empirical evidence (it is a survey/manifesto, not an estimation paper)","do not cite as proof that latent-jobs dominates empirically -- it argues the case, it does not settle it",pending,JJT-adjacent framing paper; grounds the JMP modeling choice,no
aabergeEvaluatingAlternativeRepresentations2009,Aaberge et al. 2009,Evaluating Alternative Representations of the Choice Sets in Models of Labor Supply,T1,Tier 1,T1A,3,model;estimation,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,clean,choice-set construction; fixed grid vs sampled alternatives; opportunity-measure representation,as a welfare or decomposition source,do not over-read their choice-set comparison as endorsing a specific France resolution,pending,Directly informs the 901/101-alternative resolution choice,no
capeauEstimatingSimulatingRandom2015,Capeau et al. 2015,Estimating and Simulating with a Random Utility Random Opportunity Model of Job Choice,T2,Tier 1,T1A,4,model;estimation;opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,title-typo,the explicit RURO estimation recipe; opportunity density with education effects; Belgian EU-SILC 2007,as a welfare-family or three-way-decomposition source,do not treat their random-opportunity framing as the JMP's -- welfare spec v5 (V3-5) removes the 'random opportunities' framing and uses deterministic feasible sets,pending,PROMOTE from T2: the RURO estimation benchmark closest to the JMP engine; tiers.csv under-tiered it,verify bib title 'ChoicePresentation' typo is intentional placeholder
cappauGettingTiredWork2015,Capeau & Decoster 2015/2016,"Getting Tired of Work, or Re-Tiring in Absence of Decent Job Opportunities?",T3,Tier 1,T1A,5,opportunity-mechanism;decomposition,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,author-corrupted,preference-vs-opportunity decomposition in a RURO model; closest published prototype to the JMP headline; Belgium SILC 2007,as a three-way access/ability/preference decomposition (it is two-way preference/opportunity),do not present their elderly-focused two-way split as equivalent to the JMP access/ability/preference Shapley surface,pending,PROMOTE from T3: closest existing prototype to the JMP decomposition; tiers.csv badly under-tiered it. Fix author Cappau->Capeau and Decoster name,verify 2015 vs 2016 date
dagsvikCompensatingVariationHicksian2005,Dagsvik & Karlstrom 2005,Compensating Variation and Hicksian Choice Probabilities in Random Utility Models That Are Nonlinear in Income,T1,Tier 1,T1A,6,welfare,random_utility_welfare,T1,in_Literature,yes,clean-no-DOI,Hicksian CV / de Palma-Kilani machinery for RUM nonlinear in income; closed-form welfare in discrete choice,as the JMP primary welfare object (the JMP uses ex-ante inclusive-value equivalent income; CV/EV are secondary D3 forms),"do not conflate their CV with the JMP money-metric equivalent income -- CV/EV are the secondary AC/JJT-comparability objects, not the headline",pending,Supplies the EV/CV secondary forms (D3) and the analytic-in-shocks welfare apparatus,verify DOI (JSTOR URL only)
bargainWelfareLaborSupply2013,Bargain et al. 2013,Welfare Labor Supply and Heterogeneous Preferences: Evidence for Europe and the US,T2,Tier 1,T1A,7,welfare,random_utility_welfare,T1,in_Literature,yes,clean,the canonical empirical equivalent-income family (rent / rent+wage / wage metrics); EUROMOD; preference heterogeneity; closest welfare-method comparator,as having an opportunity density or access channel (it uses a fixed common hours grid -- that absence is the JMP entry point),do not cite as already doing the opportunity decomposition -- they flag it as future work; the JMP implements that flagged extension,pending,PROMOTE from T2: project_state sec.2.1 names this the canonical empirical statement the JMP welfare layer mirrors,no
bhattacharyaNonparametricWelfareAnalysis2015,Bhattacharya 2015,Nonparametric Welfare Analysis for Discrete Choice,T1,Tier 1,T1A,8,welfare,random_utility_welfare,T1,in_Literature,yes,clean-no-DOI,EV/CV distributions from choice probabilities; nonparametric discrete-choice welfare; anchor for the deferred stochastic-dominance extension,as the JMP parametric RURO welfare object (it is nonparametric),do not overclaim transportability -- nonparametric welfare needs choice-probability variation the France cross-section may not supply,pending,Also the cited anchor for the deferred choice-set stochastic-dominance extension (welfare spec sec.5),verify DOI (Econometrica)
shorrocksDecompositionProceduresDistributional2013,Shorrocks 2013,Decomposition Procedures for Distributional Analysis: A Unified Framework Based on the Shapley Value,T1,Tier 1,T1A,9,decomposition,Shapley_decomposition_inequality,T1,in_Literature,yes,clean,the Shapley-value unified decomposition framework; order-independence; exhaustiveness; the JMP decomposition rule,as a labor-supply or welfare source,"do not claim Shapley uniquely solves attribution -- the channel membership is a normative assumption, not delivered by Shorrocks",pending,The methodological backbone of Exercise B (three-way Shapley-Shorrocks),no
shorrocksInequalityDecompositionFactor1982,Shorrocks 1982,Inequality Decomposition by Factor Components,T1,Tier 1,T1A,10,decomposition,Shapley_decomposition_inequality,T1,no_PDF_in_Literature,no_MD,clean,factor-decomposition foundations; the pre-Shapley basis the 2013 framework generalizes,as the order-independent rule itself (that is the 2013 paper),do not treat factor decomposition as path-independent -- that is exactly what Shorrocks 2013 fixes,pending,Foundational; PDF in Zotero files/ only -- acquire to Literature/. Pairs with Shorrocks 2013,no
sastreShapleyInequalityDecomposition2002,Sastre & Trannoy 2002,Shapley Inequality Decomposition by Factor Components: Some Methodological Issues,T2,Tier 1,T1A,11,decomposition,Shapley_decomposition_inequality,T1,no_PDF_in_Literature,no_MD,clean,practical Shapley decomposition methodology; the zero-contribution and elimination-order issues; implementation guidance,as a welfare or opportunity source,do not ignore their methodological caveats when reporting the three-way shares,pending,Practical companion to Shorrocks; acquire PDF to Literature/,no
audolyPractitionersNoteShapleyOwenShorrocks2025,Audoly et al. 2025,A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition,T2,Tier 1,T1A,12,decomposition,Shapley_decomposition_inequality,T1,in_Literature,yes,clean,operational Shapley-Owen-Shorrocks recipe for structural models; grouped/nested decomposition; directly implementable,as a normative justification of the channel cut,do not present the Owen grouping as the JMP settled choice without checking it against the three-way access/ability/preference structure,pending,PROMOTE from T2: most directly operational decomposition reference for the JMP engine,no
jacquetHowMuchDoes2026,Jacquet et al. 2026 (JJT),How Much Does Responsibility Matter in Fairness Measurement?,T1,Tier 1,T1A,13,welfare;decomposition;normative-interpretation,responsibility_equality_of_opportunity,T1,in_Literature,yes,clean-no-DOI,the nearest competitor/comparator (JJT); CV vs CV-circ; structural job-choice + Norway tax reform; responsibility in welfare,as doing the JMP exercise (welfare spec sec.1.3/sec.4: JJT vary the PREFERENCE axis at two points; the JMP varies the OPPORTUNITY axis across six characterised measures -- near-orthogonal),HIGH overclaim risk: must state the JMP differs from JJT on axis (opportunity vs preference) and on menu (six characterised measures vs two uncharacterised points),pending,Read carefully (rebuild_plan_v3 flags verify-before-relying); the positioning section depends on getting this contrast exactly right,verify DOI / SSRN status
vansoestStructuralModelsFamily1995,Van Soest 1995,Structural Models of Family Labor Supply: A Discrete Choice Approach,T1,Tier 1,T1B,14,model;estimation,structural_labor_supply,T1,in_Literature,yes,clean,the discrete-choice labor-supply benchmark the latent-jobs approach departs from; multinomial logit on a fixed hours grid; Dutch families,as having an opportunity mechanism (it is the fixed-common-grid baseline the JMP critiques),do not present Van Soest as a latent-jobs model -- it is the foil; the opportunity density is exactly what it lacks,pending,T1B: essential as the contrast model but not first-batch; the JMP defines itself against it,no
beffyLabourSupplyTaxation2019,Beffy et al. 2019,Labour Supply and Taxation with Restricted Choices,T1,Tier 1,T1B,15,model;identification;opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,clean,restricted-choice labor supply; identification of preferences vs choice-set distribution from at-most-two-offers; UK mothers,as a three-way decomposition or money-metric welfare source,do not over-read their two-offer identification as transporting to the France cross-section,pending,T1B: directly on the preferences-vs-opportunity separation; second batch,no
aabergeUsingMicroeconometricModel2013,Aaberge & Colombino 2013,Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes,T1,Tier 1,T1B,16,model;estimation,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,clean,published RURO benchmark; Norway 1994; opportunity-measure parameterization in the Aaberge-Colombino tradition,as a welfare-decomposition source (it is optimal-tax oriented),do not cite the optimal-tax results as welfare-inequality-decomposition results,pending,T1B: benchmark RURO estimation; companion to aabergeColombinoStructural2018 (add to bib),no
aabergeColombinoStructural2018,Aaberge & Colombino 2018,Structural Labour Supply Models and Microsimulation,(absent),Tier 2,T1B,17,model;estimation;data-infrastructure,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,MISSING_bib,RURO + microsimulation synthesis; welfare spec sec.4 cites as tradition anchor; opportunity-density estimation review,as an empirical result source,do not treat the survey as primary evidence for any single magnitude,pending,T1B: welfare spec sec.4 explicitly anchors the JMP in this tradition. NO BIB ENTRY -- add as aabergeColombinoStructural2018 (Intl J Microsimulation 11(1):162-197),verify full bib (IJM 2018; vol/issue/pages)
aabergeLaborSupply1995,Aaberge Dagsvik & Strom 1995,Labor Supply Responses and Welfare Effects of Tax Reforms,(absent),Tier 1,T1B,18,model;welfare,latent_jobs_RURO_opportunity_sets,T1,in_Literature,yes,MISSING_bib,the original RURO paper (Aaberge-Dagsvik-Strom); opportunity-set + welfare effects; Scandinavian J Economics,as a modern identification or three-way-decomposition source,do not cite 1995 for identification standards the later Dagsvik-Jia 2016 paper supplies,pending,"T1B: founding RURO paper; welfare spec sec.4 names the ACS lineage. HAS PDF + MD, NO BIB -- add entry",verify bib metadata (SJE 1995; vol/pages); choose key aabergeLaborSupply1995
