bibkey,author_year,title,official_tier,priority_rank,pdf_status,md_extraction_status,prompt_to_use,output_folder,output_filename,extraction_blocked_yes_no,blocker,notes
bargainWelfareLaborSupply2013,Bargain et al. 2013,Welfare Labor Supply and Heterogeneous Preferences: Evidence for Europe and the US,T1A,1,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1A/,Bargain_et_al_2013.md,no,none,Batch-1 paper (#7). Canonical empirical equivalent-income family -- the JMP entry point. Bib key clean. First priority.
capeauEstimatingSimulatingRandom2015,Capeau et al. 2015,Estimating and Simulating with a Random Utility Random Opportunity Model of Job Choice,T1A,2,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1A/,Capeau_et_al_2015_RURO.md,no,none,Batch-1 paper (#4). Explicit RURO estimation recipe; closest engine benchmark. Bib title-typo in CSV (ChoicePresentation artefact) -- non-blocking for extraction. Note: treat opportunities as deterministic per welfare spec V3-5.
cappauGettingTiredWork2015,Capeau & Decoster 2015/2016,Getting Tired of Work or Re-Tiring in Absence of Decent Job Opportunities?,T1A,3,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1A/,Capeau_Decoster_2016.md,no,bib author-corruption and 2015/2016 date mismatch (non-blocking for extraction; fix in bib before citing),Batch-1 paper (#5). Closest published prototype to the JMP headline (two-way RURO decomposition). Extract how two-way maps to three-way access/ability/preference. Bib author corrupted (Cappau/Andrr); PDF filename dated 2016; both non-blocking.
audolyPractitionersNoteShapleyOwenShorrocks2025,Audoly et al. 2025,A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition,T1A,4,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1A/,Audoly_et_al_2025.md,no,none,Batch-1 paper (#10). Most operational Shapley-Owen-Shorrocks recipe for a structural model. Bib clean.
sastreShapleyInequalityDecomposition2002,Sastre & Trannoy 2002,Shapley Inequality Decomposition by Factor Components: Some Methodological Issues,T1A,5,no_PDF_in_Literature,no_MD,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1A/,Sastre_Trannoy_2002.md,yes,PDF not in Literature/ -- acquire from Zotero files/ (acquisition queue rank 1) then run improve_md_extractions.py,Batch-2 paper (#14). Practical Shapley implementation issues. Blocked until PDF acquired; acquisition queue rank 1.
aabergeColombinoStructural2018,Aaberge & Colombino 2018,Structural Labour Supply Models and Microsimulation,T1B,6,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Aaberge_Colombino_2018.md,no,no bib entry (non-blocking for extraction; fix before citing),Batch-2 paper (#17). RURO + microsimulation tradition anchor (welfare spec sec.4). PDF and MD present. NO BIB ENTRY -- add aabergeColombinoStructural2018 (IJM 11(1):162-197) before citing. Extraction not blocked.
aabergeLaborSupply1995,Aaberge Dagsvik & Strom 1995,Labor Supply Responses and Welfare Effects of Tax Reforms,T1B,7,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Aaberge_Dagsvik_Strom_1995.md,no,no bib entry (non-blocking for extraction; fix before citing),Batch-2 paper (#18). Original RURO paper. PDF and MD present. NO BIB ENTRY -- add to bib (SJE 1995) before citing. Extraction not blocked.
bhattacharyaEmpiricalWelfareAnalysis2018,Bhattacharya 2018,Empirical Welfare Analysis for Discrete Choice: Some General Results,T1B,8,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Bhattacharya_2018.md,no,none,Batch-2 paper (#19). General nonparametric Hicksian welfare; companion to Bhattacharya 2015 (already extracted as Batcharaya_2015.md). Bib clean.
capeauNonparametricWelfareAnalysis2021,Capeau et al. 2021,Nonparametric Welfare Analysis for Discrete Choice: Levels and Differences of Individual and Social Welfare,T1B,9,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Capeau_et_al_2021.md,no,none,Batch-2 paper (#20). Fleurbaey-style discrete-choice welfare; closest to the JMP welfare construction. Bib clean.
decancqHappinessEquivalentIncomes2015,Decancq et al. 2015,Happiness Equivalent Incomes and Respect for Individual Preferences,T1B,10,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Decancq_et_al_2015.md,no,none,Not in first 20 batches but unblocked T1B. Welfare spec sec.1.3 cites as cited primitive for spectrum framing. Bib clean.
fleurbaeyOptimalIncomeTaxation2018,Fleurbaey & Maniquet 2018,Optimal Income Taxation Theory and Principles of Fairness,T1B,11,in_Literature,yes,JMP_T1_exhaustive_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Fleurbaey_Maniquet_2018.md,no,none,"Not in first 20 batches but unblocked T1B. Default spectrum-framing anchor (welfare spec sec.1.3). BOUNDARY: import normative readings as cited primitives only -- do not re-derive axioms. Bib clean."
sutherlandEUROMODEuropeanUnion2013,Sutherland & Figari 2013,EUROMOD: The European Union Tax-Benefit Microsimulation Model,T1B,12,in_Literature,yes,JMP_T2_focused_extraction_prompt_v2.md,JMP_literature/03_summaries/T1B/,Sutherland_Figari_2013.md,no,none,T1B paper to extract with T2 prompt (infrastructure citation per batch file). EUROMOD reference; budget mapping / ils_dispy. Bib clean.
