pdf_id,pdf_filename,has_md_extraction,likely_bibtex_key,matched_author_year,matched_title_fragment,encoding_or_naming_issues,in_Literature_folder,notes
1,Aaberge and Colombino - 2013 - Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes.pdf,yes,aabergeUsingMicroeconometricModel2013,Aaberge & Colombino 2013,Using a Microeconometric Model of Household Labour Supply,,yes,Clean filename; Zotero-style naming
2,"Aaberge et al. - 1995 - Labor Supply Responses and Welfare Effects of Tax Reforms.pdf",yes,[no bib entry],Aaberge et al. 1995,Labor Supply Responses and Welfare Effects of Tax Reforms,,yes,NO BibTeX entry for this paper — needs to be added to bib
3,"Aaberge et al. - 1999 - Labour supply in Italy an empirical analysis of joint household decisions, with taxes and quantity.pdf",yes,aaberge1999LabourSupplyItaly [verify],Aaberge et al. 1999,Labour supply in Italy an empirical analysis,,yes,BibTeX key not confirmed from bib scan — [verify] whether entry exists
4,"Aaberge et al_2000_Labor supply responses and welfare effects from replacing current tax rules by.pdf",yes,aabergeLaborSupplyResponses2000,Aaberge et al. 2000,Labor supply responses and welfare effects from replacing,,yes,
5,"Aaberge et al_2004_Do more equal slices shrink the cake.pdf",yes,aabergeMoreEqualSlices2004,Aaberge et al. 2004,Do more equal slices shrink the cake,,yes,
6,"Aaberge et al_2009_Evaluating Alternative Representations of the Choice Sets in Models of Labor.pdf",yes,aabergeEvaluatingAlternativeRepresentations2009,Aaberge et al. 2009,Evaluating Alternative Representations of the Choice Sets,,yes,
7,"Aaberge_Colombino_2006_Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply.pdf",yes,aabergeDesigningOptimalTaxes2006,Aaberge & Colombino 2006,Designing Optimal Taxes with a Microeconometric Model,,yes,
8,"Aaberge_Colombino_2011_Empirical Optimal Income Taxation.pdf",yes,aabergeEmpiricalOptimalIncome2011,Aaberge & Colombino 2011,Empirical Optimal Income Taxation,,yes,
9,"Aaberge_Colombino_2012_Accounting for family background when designing optimal income taxes.pdf",yes,aabergeAccountingFamilyBackground2012,Aaberge & Colombino 2012,Accounting for family background when designing,,yes,
10,"Aaberge_Colombino_2018_Structural labour supply models and microsimulation.pdf",yes,aabergeColombinoStructural2018 [verify],Aaberge & Colombino 2018,Structural labour supply models and microsimulation,,yes,BibTeX entry for 2018 paper not found in bib scan — [verify]; referenced in LIT report but may be absent from bib
