current_path,filename,matched_bibkey,paper_title,official_tier,current_folder,recommended_folder,action,reason,priority
JMP_literature/03_summaries/T1A/Dagsvik_Jia_2016_latent_jobs.md,Dagsvik_Jia_2016_latent_jobs.md,dagsvikLaborSupplyChoice2016,Labor Supply as a Choice Among Latent Jobs: Unobserved Heterogeneity and Identification,T1A,T1A,T1A,keep,Correct tier and correct folder. No action needed.,low
JMP_literature/03_summaries/T1A/Dagsvik_et_al_2014_latent_jobs_arguments.md,Dagsvik_et_al_2014_latent_jobs_arguments.md,dagsvikTHEORETICALPRACTICALARGUMENTS2014,Theoretical and Practical Arguments for Modeling Labor Supply as a Choice Among Latent Jobs,T1A,T1A,T1A,keep,Correct tier and correct folder. No action needed.,low
JMP_literature/03_summaries/T1A/Aaberge_et_al_2009.md,Aaberge_et_al_2009.md,aabergeEvaluatingAlternativeRepresentations2009,Evaluating Alternative Representations of the Choice Sets in Models of Labor Supply,T1A,T1A,T1A,keep,Correct tier and correct folder. No action needed.,low
JMP_literature/03_summaries/T1A/Batcharaya_2015.md,Batcharaya_2015.md,bhattacharyaNonparametricWelfareAnalysis2015,Nonparametric Welfare Analysis for Discrete Choice,T1A,T1A,T1A,metadata_repair,Correct tier and correct folder. Rename to Bhattacharya_2015.md to fix typo (Batcharaya -> Bhattacharya).,medium
JMP_literature/03_summaries/T1A/Dagsvik_Karlstrom_2005.md,Dagsvik_Karlstrom_2005.md,dagsvikCompensatingVariationHicksian2005,Compensating Variation and Hicksian Choice Probabilities in Random Utility Models That Are Nonlinear in Income,T1A,T1A,T1A,keep,Correct tier and correct folder. No action needed.,low
JMP_literature/03_summaries/T1A/Shorrocks_1982.md,Shorrocks_1982.md,shorrocksInequalityDecompositionFactor1982,Inequality Decomposition by Factor Components,T1A,T1A,T1A,keep,Correct tier and correct folder. Note: PDF not yet in Literature/ (acquire per queue rank 2) -- summary exists regardless.,low
JMP_literature/03_summaries/T1A/Shorrocks_2013.md,Shorrocks_2013.md,shorrocksDecompositionProceduresDistributional2013,Decomposition Procedures for Distributional Analysis: A Unified Framework Based on the Shapley Value,T1A,T1A,T1A,keep,Correct tier and correct folder. No action needed.,low
JMP_literature/03_summaries/T1A/Jaque_jia_Thor.md,Jaque_jia_Thor.md,jacquetHowMuchDoes2026,How Much Does Responsibility Matter in Fairness Measurement?,T1A,T1A,T1A,metadata_repair,Correct tier and correct folder. Rename to Jacquet_Jia_Thoresen_2026.md to fix truncation and spelling.,medium
JMP_literature/03_summaries/T1A/van_Soest_1995.md,van_Soest_1995.md,vansoestStructuralModelsFamily1995,Structural Models of Family Labor Supply: A Discrete Choice Approach,T1B,T1A,T1B,move,Official tier is T1B not T1A. Summary itself correctly identifies it as T1B and flags the recommended destination as T1B/. Move to JMP_literature/03_summaries/T1B/van_Soest_1995.md. Content is correct -- no rerun needed.,high
JMP_literature/03_summaries/T1A/Beffy_et_al_2019_summary.md,Beffy_et_al_2019_summary.md,beffyLabourSupplyTaxation2019,Labour Supply and Taxation with Restricted Choices,T1B,T1A,T1B,move,Official tier is T1B not T1A. Move to JMP_literature/03_summaries/T1B/Beffy_et_al_2019.md (also drop the _summary suffix to match naming convention).,high
