FileName,FullPath,ConfirmedPrinted,ConfirmedAt,PriorSentOrder,PriorSentTimestamp,LastStatus,LastStatusAt,Notes
Aaberge and Colombino - 2013 - Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge and Colombino - 2013 - Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes.pdf,YES,,1,4/9/2026 10:52,SENT,4/9/2026 10:52,
Aaberge et al. - 1995 - Labor Supply Responses and Welfare Effects of Tax Reforms.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al. - 1995 - Labor Supply Responses and Welfare Effects of Tax Reforms.pdf,YES,,2,4/9/2026 10:53,SENT,4/9/2026 10:53,
"Aaberge et al. - 1999 - Labour supply in Italy an empirical analysis of joint household decisions, with taxes and quantity.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al. - 1999 - Labour supply in Italy an empirical analysis of joint household decisions, with taxes and quantity.pdf",YES,,3,4/9/2026 10:53,SENT,4/9/2026 10:53,
Aaberge et al_2000_Labor supply responses and welfare effects from replacing current tax rules by.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al_2000_Labor supply responses and welfare effects from replacing current tax rules by.pdf,YES,,4,4/9/2026 10:53,SENT,4/9/2026 10:53,
Aaberge et al_2004_Do more equal slices shrink the cake.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al_2004_Do more equal slices shrink the cake.pdf,YES,,5,4/9/2026 10:54,SENT,4/9/2026 10:54,
Aaberge et al_2009_Evaluating Alternative Representations of the Choice Sets in Models of Labor.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al_2009_Evaluating Alternative Representations of the Choice Sets in Models of Labor.pdf,YES,,6,4/9/2026 10:54,SENT,4/9/2026 10:54,
Aaberge_Colombino_2006_Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2006_Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply.pdf,YES,,7,4/9/2026 10:54,SENT,4/9/2026 10:54,
Aaberge_Colombino_2011_Empirical Optimal Income Taxation.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2011_Empirical Optimal Income Taxation.pdf,YES,,8,4/9/2026 10:55,SENT,4/9/2026 10:55,
Aaberge_Colombino_2012_Accounting for family background when designing optimal income taxes.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2012_Accounting for family background when designing optimal income taxes.pdf,YES,,9,4/9/2026 10:55,SENT,4/9/2026 10:55,
Aaberge_Colombino_2018_Structural labour supply models and microsimulation.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2018_Structural labour supply models and microsimulation.pdf,YES,,10,4/9/2026 10:55,SENT,4/9/2026 10:55,
