Panel,Statistic,Full Model,Benchmark (Common Choice Set)
A - Goodness of Fit,Log-likelihood,-4786.2,
A - Goodness of Fit,McFadden pseudo-R²,0.271,0.214
A - Goodness of Fit,Exact 1-of-16 package hit rate,39.2%,33.8%
A - Goodness of Fit,Employment classification hit rate,82.4%,
A - Goodness of Fit,Hours-bin hit rate (conditional on employment),64.8%,
B - Employment Rate by Cell,Flanders / Low education: Observed,72.4%,
B - Employment Rate by Cell,Flanders / Low education: Predicted,73.0%,
B - Employment Rate by Cell,Flanders / Medium education: Observed,79.3%,
B - Employment Rate by Cell,Flanders / Medium education: Predicted,78.9%,
B - Employment Rate by Cell,Flanders / High education: Observed,86.5%,
B - Employment Rate by Cell,Flanders / High education: Predicted,85.9%,
B - Employment Rate by Cell,Wallonia / Low education: Observed,64.0%,
B - Employment Rate by Cell,Wallonia / Low education: Predicted,64.8%,
B - Employment Rate by Cell,Wallonia / Medium education: Observed,73.6%,
B - Employment Rate by Cell,Wallonia / Medium education: Predicted,74.0%,
B - Employment Rate by Cell,Wallonia / High education: Observed,83.8%,
B - Employment Rate by Cell,Wallonia / High education: Predicted,83.0%,
B - Employment Rate by Cell,Brussels / Low education: Observed,62.4%,
B - Employment Rate by Cell,Brussels / Low education: Predicted,63.5%,
B - Employment Rate by Cell,Brussels / Medium education: Observed,71.2%,
B - Employment Rate by Cell,Brussels / Medium education: Predicted,72.0%,
B - Employment Rate by Cell,Brussels / High education: Observed,82.4%,
B - Employment Rate by Cell,Brussels / High education: Predicted,81.7%,
