repo_tree,abs_path,rel_path,tracked_status,file_type,size_bytes,sha256_or_flag,git_status,last_modifying_commit,manifest_ref,pin_ref,pointer_ref,contract_ref,manuscript_ref,review_ref,ruling_ref,immutability_ruling_protection,canonical_successor,proposed_disposition,reason,proposed_action,deputy_ratification_required
MNL,C:/Users/hisham/Repo/MNL/notebooks/france/fr_singles_results_discussion_v1.ipynb,notebooks/france/fr_singles_results_discussion_v1.ipynb,UNTRACKED,ipynb,2201775,490de0ba0c8cdfa60d3c142c3f71ee2c4db986e1e218b4919c6db22a3d51eed1,??,,False,False,False,False,False,False,False,,,HOLD,"CONTENT CHANGED since v1 scan: v1 recorded size=1126685 bytes, sha256=75efcb6cc02ef220...; current size grew to a live re-hash, sha256 differs. Untracked material with no reference-corpus citation, no attempt-directory evidentiary context. Disposition unchanged from v1 (HOLD) pending clarification; this is a content-delta row, not a reclassification.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_3a_hours_grid_fit.png,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_3a_hours_grid_fit.png,UNTRACKED,png,223033,25dde7f9d2b81e346a2ec8e1de4e835a561ba8b7cec2ed51822fde2ac1d0a338,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_3b_employment_by_education.png,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_3b_employment_by_education.png,UNTRACKED,png,99776,b6a40b84c91e6cd7745a1943259cb105917dd99770526196dc62eba0f5512aff,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_4_marginal_utilities.png,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_4_marginal_utilities.png,UNTRACKED,png,237227,8795b70122cda1d10298735228afa368c30b2cc28da37e0ec5feb8f907518bf6,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_5_indifference_curves.png,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_fig6_5_indifference_curves.png,UNTRACKED,png,418773,3c347087a14671ff961fd77057776865765974eede5130c3bbd8337f37e4dd56,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_2_optimum_search.csv,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_2_optimum_search.csv,UNTRACKED,csv,641,f5cedeabc845199f22023895925dd837f4dd153e29c6f518844b327f338d4108,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_3_solver_wall_time.csv,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_3_solver_wall_time.csv,UNTRACKED,csv,275,8c2d836feab5c4a75ec6911004f76991a0219689fb54562cc56105ee173cfcde,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_4_curvature.csv,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_4_curvature.csv,UNTRACKED,csv,278,c6c0f38aacea5b6239fa7a8b743a6c8b28c4a12662416de9ffab051a89267710,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_5_pinned_coordinates.csv,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_5_pinned_coordinates.csv,UNTRACKED,csv,1214,a1e10da7ec6de0039f4e13ebc045a708596a19815b8292b6b5c1471358f7d9ca,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_6_pin_gradient_check.csv,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_6_pin_gradient_check.csv,UNTRACKED,csv,211,5af83f0a70b9a1439f289e21092a08af2172209b90c1b0c1787d0581af9f9bf1,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_7_fit_statistics.csv,outputs/p2a_singles2016/notebook_dev_v3/results_discussion_table4_7_fit_statistics.csv,UNTRACKED,csv,423,6e2047bf3d6f841089f3f739fe12d2908939fd2d22829286155676dc0bb6aa0b,??,,False,False,False,False,False,False,False,,,HOLD,"NEW file (not present in v1). Directory outputs/p2a_singles2016/notebook_dev_v3/ is cited verbatim by JMP::docs/Missions/JMP_M08E_E2_closure_notebook_and_RUM_ruling_v1.md (ruling-citation, authorized aggregate development-output location) per the reference protection map, but v1 did not propagate that directory-level citation to ruling_ref=True on individual files inside it (resolved_repo was left '?' in v1's own map). Classified HOLD for consistency with v1's treatment of the other 37 files already in this directory; see delta summary governance-gap note on the unresolved directory-level citation.",None pending clarification.,N/A (HOLD)
