repo_tree,abs_path,rel_path,tracked_status,file_type,size_bytes,sha256_or_flag,git_status,last_modifying_commit,manifest_ref,pin_ref,pointer_ref,contract_ref,manuscript_ref,review_ref,ruling_ref,immutability_ruling_protection,canonical_successor,proposed_disposition,reason,proposed_action,archive_path,verification_status,deputy_ratification_required
MNL,C:/Users/hisham/Repo/MNL/.gitattributes,.gitattributes,TRACKED,(none),8,705fd4d6451a31d36b3df7de96f83f30ac976c9b4a6d1e51671d8e2f33e2d0da,clean,9b2fe82b0f86ccaabaad7c52bbb12ad839695896,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/.gitignore,.gitignore,TRACKED,(none),595,1a653acedaef8f93f7ec6bd411187b1540d51f162bacdfe13fa076da9c6cacfb,clean,92cf8da337b288343e985d3c5d1bc42e5d19578f,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/.markdownlint.json,.markdownlint.json,TRACKED,json,61,a37ac5d3dd5d7610a82b1f16777874c7400068feba9a0674b617a390d12c7145,clean,f12cfaeedeab5d11430f306ae79399c5070d8656,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/01_repo_inventory.md,01_repo_inventory.md,TRACKED,md,72797,c3aaa3d76ce2721d27f768e4fd7726dcfd956538dd156bf1cc62befa441c8d83,clean,0ef7304e8e71ed3f5e540ad4c6319cd0e969c407,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/02_package_architecture_memo.md,02_package_architecture_memo.md,TRACKED,md,10746,82fcebb5a032718e464856e429976a78c93bc331819cac90eadec6288c7b6e09,clean,5b28ea74d4c7e80e14fde0bcefecbc73a84ede06,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/03_migration_matrix.md,03_migration_matrix.md,TRACKED,md,28968,e07d4770e3943d7ba064f904475c929a21c5d260a3e0e61a39f9e4f596e4c727,clean,0ef7304e8e71ed3f5e540ad4c6319cd0e969c407,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/chats,chats,TRACKED,(none),7998,fdc9f9579767345d9be6a85c47faac5cad932471ae5b43f0e7c3085289900ff5,clean,9139ec80e0246db784c586410a30bfbe3dc7cfb0,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/debug.log,debug.log,TRACKED,log,3345,de379a665ca328e3a59cb4f04c848093cc64a2f822cfd455c84444acfcd598f5,clean,a9ea85290fad93829486ec8e352f84da284d028f,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/files_structure_detailed.md,files_structure_detailed.md,TRACKED,md,177791,f922aa5cba10c1cdbc9e7137c0dbcf170e7995d5ea503429b83c6aef17a6f30a,clean,0ef7304e8e71ed3f5e540ad4c6319cd0e969c407,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
MNL,C:/Users/hisham/Repo/MNL/fr_singles_engine_ready_p2a_bpool.parquet,fr_singles_engine_ready_p2a_bpool.parquet,TRACKED,parquet,23114466,8bf083ce3be17f8c74af894bc3748718cbb0a991eb9a411db7188e806d1e9f0d,clean,a9ea85290fad93829486ec8e352f84da284d028f,False,False,False,False,False,False,False,,,HOLD,"[HK01 v2 / R4 correction, Codex review 2026-08-24 Sec.6 finding 1] Reclassified CANONICAL_CURRENT -> HOLD: v1's classification relied solely on an unconfirmed 'presumed live repository material' presumption with no independent pin/manifest/contract/manuscript/review/ruling citation (all reference-corpus flags False on this row). Ruling Sec.3/5 does not authorize a blanket tracked-and-clean presumption for CANONICAL_CURRENT; defaulted fail-closed to HOLD pending independent confirmation of current role. Original v1 reason: Tracked, git-clean codebase/documentation file with no supersession/archive marker and no attempt-directory context; presumed live repository material. NOT independently confirmed by an explicit pin/manifest/contract/manuscript citation -- see reference_protection_map coverage caveat in the summary.",None -- keep in place.,N/A,N/A,N/A (HOLD)
