numeral_id,memo_section,formula,inputs,value,memo_value,abs_diff,pass
REC.bc_singles,§0 notation,beta_c (singles),S11 singles,2.038731824,2.0387,3.18e-05,True
REC.bc_couples,§0 notation,beta_c (couples),S11 couples,2.101720268,2.1017,2.03e-05,True
T1.sm.theta,§1.2 Table 1 note,theta_l,S11 singles theta_l_sm,-1.626266649,-1.6263,3.34e-05,True
T1.sm.B8,§1.2 Table 1 note,B(8;theta),theta_l_sm,0.5940054638,0.594005,4.64e-07,True
T1.sm.B75,§1.2 Table 1 note,B(7.5;theta),theta_l_sm,0.5916926307,0.591693,3.69e-07,True
GATE.sm.beta_ref_vs_record,input gate,beta_l(ref HH) recomputed vs recorded omega_at_reference,"S11 sm leisure block; ref HH age 43.0, k 0.0",8.561504625,8.561504625,5.04e-11,True
T1.sm.min.age,§1.2 Table 1,age at min beta_l = centre + scale*(-ba/2ba2),S11 sm,33.20283563,33.2,0.00284,True
T1.sm.min.beta,§1.2 Table 1,beta_l(x),S11 sm; case min,7.814472871,7.814,0.000473,True
T1.sm.min.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=20,0.9618234022,0.962,0.000177,True
T1.sm.min.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=35,0.8911674009,0.891,0.000167,True
T1.sm.min.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=39,0.8619146086,0.862,8.54e-05,True
T1.sm.min.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=50,0.7364853657,0.736,0.000485,True
T1.sm.min.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l min,1.008904516,1.0089,4.52e-06,True
T1.sm.min.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l min,1.008904516,1.009,9.55e-05,True
T1.sm.min.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l min,9.745707778,9.75,0.00429,True
T1.sm.ref.beta,§1.2 Table 1,beta_l(x),S11 sm; case ref,8.561504625,8.562,0.000495,True
T1.sm.ref.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=20,0.9582510926,0.958,0.000251,True
T1.sm.ref.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=35,0.8814051907,0.881,0.000405,True
T1.sm.ref.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=39,0.8497572648,0.850,0.000243,True
T1.sm.ref.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=50,0.7152626594,0.715,0.000263,True
T1.sm.ref.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l ref,1.009759893,1.0098,4.01e-05,True
T1.sm.ref.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l ref,1.009759893,1.010,0.00024,True
T1.sm.ref.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l ref,12.11546017,12.1,0.0155,True
T1.sm.age20.beta,§1.2 Table 1,beta_l(x),S11 sm; case age20,9.171138137,9.171,0.000138,True
T1.sm.age20.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=20,0.9553456562,0.955,0.000346,True
T1.sm.age20.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=35,0.8735177986,0.874,0.000482,True
T1.sm.age20.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=39,0.8399631488,0.840,3.69e-05,True
T1.sm.age20.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=50,0.6983973391,0.698,0.000397,True
T1.sm.age20.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l age20,1.010458481,1.0105,4.15e-05,True
T1.sm.age20.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l age20,1.010458481,1.010,0.000458,True
T1.sm.age20.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l age20,14.47040203,14.5,0.0296,True
T1.sm.age60.beta,§1.2 Table 1,beta_l(x),S11 sm; case age60,13.40323923,13.403,0.000239,True
T1.sm.age60.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=20,0.9354173903,0.935,0.000417,True
T1.sm.age60.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=35,0.8206748096,0.821,0.000325,True
T1.sm.age60.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=39,0.7750138465,0.775,1.38e-05,True
T1.sm.age60.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=50,0.5917828297,0.592,0.000217,True
T1.sm.age60.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l age60,1.015321452,1.0153,2.15e-05,True
T1.sm.age60.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l age60,1.015321452,1.015,0.000321,True
T1.sm.age60.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l age60,49.65859358,49.7,0.0414,True
T1.sf.theta,§1.2 Table 1 note,theta_l,S11 singles theta_l_sf,-0.9273534346,-0.9274,4.66e-05,True
T1.sf.B8,§1.2 Table 1 note,B(8;theta),theta_l_sf,0.9215645729,0.921565,4.27e-07,True
