parameter_name,economic_panel,source_block,status,estimate,se_model,se_robust,ci_robust_low,ci_robust_high,active_bound_side,pin_reason,economic_label
beta_l0_sm,1_preferences,preference_singles_male_leisure,interior,4.7803989338634505,1.7824572228026443,2.5018306367603196,-0.12309900960568587,9.683896877332586,NA,NA,Singles male leisure utility -- intercept
beta_l_age_sm,1_preferences,preference_singles_male_leisure,interior,0.35987419841164681,1.1307009563436157,1.1323814077899563,-1.8595525776194317,2.579300974442725,NA,NA,Singles male leisure utility -- age slope
beta_l_age2_sm,1_preferences,preference_singles_male_leisure,active bound,1,NA,NA,NA,NA,upper,NA,Singles male leisure utility -- age-squared slope (active upper bound)
theta_l_sm,1_preferences,preference_singles_male_leisure,interior,-2.340652291967503,0.35157457420621796,0.25351127299606907,-2.8375252567147,-1.843779327220306,NA,NA,Singles male leisure -- Box-Cox curvature
beta_l0_sf,1_preferences,preference_singles_female_leisure,interior,7.8120703634741764,2.570015079023573,3.957929267325311,0.05467154615956371,15.56946918078879,NA,NA,Singles female leisure utility -- intercept
beta_l_age_sf,1_preferences,preference_singles_female_leisure,interior,-0.83711925435109147,1.3050198921749279,1.0838741801762957,-2.9614736112695086,1.2872351025673254,NA,NA,Singles female leisure utility -- age slope
beta_l_age2_sf,1_preferences,preference_singles_female_leisure,active bound,1,NA,NA,NA,NA,upper,NA,Singles female leisure utility -- age-squared slope (active upper bound)
beta_l_nkids_sf,1_preferences,preference_singles_female_leisure,interior,1.877497143689336,1.5891487541867821,1.4885900730435013,-1.040085787219775,4.795080074598447,NA,NA,Singles female leisure utility -- number-of-children slope
theta_l_sf,1_preferences,preference_singles_female_leisure,interior,-1.9845879299336024,0.27402668866332885,0.3011439853044895,-2.5748192952912614,-1.3943565645759437,NA,NA,Singles female leisure -- Box-Cox curvature
theta_c_singles,1_preferences,preference_singles_consumption,interior,0.093458702481988204,0.04596272594677583,0.07683467063143438,-0.0571344847196206,0.244051889683597,NA,NA,Singles consumption -- Box-Cox curvature
beta_l0_m,1_preferences,preference_couples_male_leisure,pinned,9.9999999999999995e-07,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples male leisure utility -- intercept (pinned; not referenced by the singles objective)
beta_l_age_m,1_preferences,preference_couples_male_leisure,pinned,-0.067236897452355004,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples male leisure utility -- age slope (pinned; not referenced by the singles objective)
beta_l_age2_m,1_preferences,preference_couples_male_leisure,pinned,0.087750489184784897,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples male leisure utility -- age-squared slope (pinned; not referenced by the singles objective)
beta_l0_f,1_preferences,preference_couples_female_leisure,pinned,10.052237044896549,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples female leisure utility -- intercept (pinned; not referenced by the singles objective)
beta_l_age_f,1_preferences,preference_couples_female_leisure,pinned,-1.780253386288037,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples female leisure utility -- age slope (pinned; not referenced by the singles objective)
beta_l_age2_f,1_preferences,preference_couples_female_leisure,pinned,1,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples female leisure utility -- age-squared slope (pinned; not referenced by the singles objective)
beta_l_nkids_f,1_preferences,preference_couples_female_leisure,pinned,0.58571985010558414,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples female leisure utility -- number-of-children slope (pinned; not referenced by the singles objective)
theta_l_f,1_preferences,preference_couples_female_leisure,pinned,-2.131739110508045,NA,NA,NA,NA,NA,structurally_inapplicable__unreferenced_by_singles_objective,Couples female leisure -- Box-Cox curvature (pinned; not referenced by the singles objective)
beta_E,2_employment_hours_access,opportunity_hours,interior,-2.8973902276042747,0.36619568069957137,0.36151975213292603,-3.6059559214846573,-2.188824533723892,NA,NA,Opportunity/access -- hours-access level shifter
beta_h_pt1,2_employment_hours_access,opportunity_hours,interior,-1.2768557580581916,0.1631016647411261,0.1672568965776269,-1.604673251516281,-0.9490382646001023,NA,NA,Opportunity/access -- part-time (band 1) hours-access shifter
beta_h_pt2,2_employment_hours_access,opportunity_hours,interior,-0.98052065227112761,0.17865909126167331,0.18622665358796944,-1.3455181862649646,-0.6155231182772907,NA,NA,Opportunity/access -- part-time (band 2) hours-access shifter
beta_h_ft,2_employment_hours_access,opportunity_hours,interior,0.88715154727383982,0.06727215768748825,0.07506685233913904,0.740023220256341,1.0342798742913386,NA,NA,Opportunity/access -- full-time hours-access shifter
beta_h_lh,2_employment_hours_access,opportunity_hours,interior,-1.4525802640177317,0.11473207206227151,0.14075456815638301,-1.7284541482637308,-1.1767063797717325,NA,NA,Opportunity/access -- long-hours hours-access shifter
beta_E_gsur,3_regional_access,opportunity_market_regional_access,interior,-1.1047680284010777,0.2107346420164426,0.20441791001836224,-1.505419769832017,-0.7041162869701383,NA,NA,"Opportunity/access -- regional access, GSUR dimension (design column 'gsur')"
beta_E_drgn2,3_regional_access,opportunity_market_regional_access,interior,-0.2050364514233925,0.3112764494000016,0.3114168386980469,-0.8154022394508837,0.4053293366040988,NA,NA,Opportunity/access -- NUTS-1 region dummy 2 (design column 'reg2')
beta_E_drgn3,3_regional_access,opportunity_market_regional_access,interior,-0.088527722345106294,0.3694543201180356,0.3630895896373623,-0.8001702411957641,0.6231147965055515,NA,NA,Opportunity/access -- NUTS-1 region dummy 3 (design column 'reg3')
beta_E_drgn4,3_regional_access,opportunity_market_regional_access,interior,-0.68972676872438021,0.34546577145132884,0.3597888687632991,-1.3948999935388544,0.015446456090093985,NA,NA,Opportunity/access -- NUTS-1 region dummy 4 (design column 'reg4')
beta_E_drgn5,3_regional_access,opportunity_market_regional_access,interior,-0.265394937063825,0.3092248205263794,0.3172834241356131,-0.8872590212611732,0.3564691471335232,NA,NA,Opportunity/access -- NUTS-1 region dummy 5 (design column 'reg5')
beta_E_drgn6,3_regional_access,opportunity_market_regional_access,interior,-0.52194108038296028,0.32696210288598604,0.3321759766330945,-1.172994031113244,0.12911187034732352,NA,NA,Opportunity/access -- NUTS-1 region dummy 6 (design column 'reg6')
beta_E_drgn7,3_regional_access,opportunity_market_regional_access,interior,-0.38771382757503292,0.3351734679515394,0.336120152049337,-1.0464972200698601,0.2710695649197944,NA,NA,Opportunity/access -- NUTS-1 region dummy 7 (design column 'reg7')
beta_E_drgn8,3_regional_access,opportunity_market_regional_access,interior,-0.30874368245956058,0.32308554400696365,0.32877764323388875,-0.9531360221199414,0.3356486572008203,NA,NA,Opportunity/access -- NUTS-1 region dummy 8 (design column 'reg8')
beta_E_y2015,3_regional_access,opportunity_market_year,pinned,-0.2546064112385174,NA,NA,NA,NA,NA,structurally_inapplicable__identically_zero_covariate_2016_only,Opportunity/access -- survey-year 2015 dummy (pinned; identically-zero covariate in the 2016-only sample)
beta_E_y2017,3_regional_access,opportunity_market_year,pinned,-0.069471107376197702,NA,NA,NA,NA,NA,structurally_inapplicable__identically_zero_covariate_2016_only,Opportunity/access -- survey-year 2017 dummy (pinned; identically-zero covariate in the 2016-only sample)
beta_E_drgur,3_regional_access,opportunity_market_regional_access,interior,-0.010018686507697799,0.2014636034994229,0.20805761031007192,-0.4178041094249082,0.39776673640951254,NA,NA,"Opportunity/access -- urbanisation indicator, rural (design column 'drgur')"
beta_E_drgmd,3_regional_access,opportunity_market_regional_access,interior,0.10867255286061039,0.23826332630544247,0.24325904958494873,-0.3681064232393323,0.5854515289605531,NA,NA,"Opportunity/access -- urbanisation indicator, medium density (design column 'drgmd')"
beta_occ_2_m,4_occupation_access,opportunity_occupation,interior,-1.302884050507318,0.1469769533545697,0.15833104521807492,-1.6132071967693276,-0.9925609042453085,NA,NA,"Occupation access -- male, occupation group 2 shifter"
beta_occ_3_m,4_occupation_access,opportunity_occupation,interior,-1.8859683239157241,0.18930163748792958,0.1989694373072426,-2.27594125506212,-1.4959953927693284,NA,NA,"Occupation access -- male, occupation group 3 shifter"
beta_occ_4_m,4_occupation_access,opportunity_occupation,interior,0.25347794230828019,0.0897229764825477,0.09492961681474567,0.06741931228519077,0.4395365723313696,NA,NA,"Occupation access -- male, occupation group 4 shifter"
beta_occ_2_f,4_occupation_access,opportunity_occupation,interior,-0.075816138110144607,0.11655519844461018,0.12327061646710581,-0.3174221067377221,0.1657898305174329,NA,NA,"Occupation access -- female, occupation group 2 shifter"
beta_occ_3_f,4_occupation_access,opportunity_occupation,interior,-0.46120066567816781,0.12898689789615153,0.1345962746597697,-0.7250045164645775,-0.1973968148917581,NA,NA,"Occupation access -- female, occupation group 3 shifter"
beta_occ_4_f,4_occupation_access,opportunity_occupation,interior,0.85450203950514481,0.09633550355156208,0.09940431046843853,0.6596731710789674,1.0493309079313222,NA,NA,"Occupation access -- female, occupation group 4 shifter"
beta_w0,5_wage_density,wage_density,interior,2.1399516809316084,0.043042467773863585,0.055830295362339334,2.03052631277519,2.249377049088027,NA,NA,Wage density -- location intercept
