Coordinate,Estimate,CR1 s.e.,z,Box,Status
\path{beta_l0_m},3.98136,0.746569,5.333,"[1e-06, 50]",estimated
\path{beta_l_age_m},-0.00799228,0.0287174,-0.278,"[-5, 5]",estimated
\path{beta_l_age2_m},0.00648336,0.00297388,2.180,"[-1, 1]",estimated
\path{theta_l_m},-0.976109,0.135663,-7.195,"[-8, 0.95]",estimated
\path{beta_l0_f},13.1029,4.77604,2.743,"[0.05, 50]",estimated
\path{beta_l_age_f},-0.122813,0.126048,-0.974,"[-5, 5]",estimated
\path{beta_l_age2_f},0.00730709,0.0102503,0.713,"[-1, 1]",estimated
\path{beta_l_nkids_f},-0.305471,1.14719,-0.266,"[-5, 5]",estimated
\path{theta_l_f},-1.68631,0.245846,-6.859,"[-8, 0.95]",estimated
\path{beta_E_m},-2.12326,0.319457,-6.646,"[-25, 25]",estimated
\path{beta_E_f},-2.81476,0.302078,-9.318,"[-25, 25]",estimated
\path{beta_h_pt1_m},-1.10936,0.379086,-2.926,"[-10, 10]",estimated
\path{beta_h_pt1_f},-0.517276,0.162932,-3.175,"[-10, 10]",estimated
\path{beta_h_pt2_m},0.0835202,0.237788,0.351,"[-10, 10]",estimated
\path{beta_h_pt2_f},1.15858,0.121438,9.541,"[-10, 10]",estimated
\path{beta_h_f35_m},2.2888,0.0821348,27.866,"[-10, 10]",estimated
\path{beta_h_f35_f},2.02835,0.0682392,29.724,"[-10, 10]",estimated
\path{beta_h_ft_m},2.38012,0.0865569,27.498,"[-10, 10]",estimated
\path{beta_h_ft_f},1.68251,0.0798241,21.078,"[-10, 10]",estimated
\path{beta_h_lh_m},0.69767,0.133487,5.226,"[-10, 10]",estimated
\path{beta_h_lh_f},-0.310873,0.161533,-1.925,"[-10, 10]",estimated
\path{beta_E_gsur},-1.19243,0.155667,-7.660,"[-10, 10]",estimated
\path{beta_E_drgn2},-0.154617,0.24423,-0.633,"[-10, 10]",estimated
\path{beta_E_drgn3},0.0872501,0.280833,0.311,"[-10, 10]",estimated
\path{beta_E_drgn4},0.0150136,0.306753,0.049,"[-10, 10]",estimated
\path{beta_E_drgn5},-0.145472,0.255453,-0.569,"[-10, 10]",estimated
\path{beta_E_drgn6},-0.284391,0.274814,-1.035,"[-10, 10]",estimated
\path{beta_E_drgn7},-0.139569,0.265133,-0.526,"[-10, 10]",estimated
\path{beta_E_drgn8},-0.165927,0.26603,-0.624,"[-10, 10]",estimated
\path{beta_E_drgur},-0.182322,0.165665,-1.101,"[-10, 10]",estimated
\path{beta_E_drgmd},-0.417356,0.1861,-2.243,"[-10, 10]",estimated
\path{beta_occ_2_m},-1.50975,0.0967347,-15.607,"[-15, 15]",estimated
\path{beta_occ_3_m},-2.25319,0.124405,-18.112,"[-15, 15]",estimated
\path{beta_occ_4_m},0.159368,0.061796,2.579,"[-15, 15]",estimated
\path{beta_occ_2_f},0.207379,0.0891054,2.327,"[-15, 15]",estimated
\path{beta_occ_3_f},-0.180381,0.0923137,-1.954,"[-15, 15]",estimated
\path{beta_occ_4_f},0.81589,0.079925,10.208,"[-15, 15]",estimated
\path{beta_w0},2.048,0.0335421,61.058,"[-10, 20]",estimated
\path{beta_w_educL},-0.0433046,0.0216643,-1.999,"[-5, 5]",estimated
\path{beta_w_educH},0.181652,0.0197059,9.218,"[-5, 5]",estimated
\path{beta_w_pexp},0.56435,0.0545928,10.337,"[-3, 3]",estimated
\path{beta_w_pexp2},-0.15983,0.0242888,-6.580,"[-0.3, 0.3]",estimated
\path{sigma},0.363075,0.0072235,50.263,"[0.1, 20]",estimated
\path{delta_occ_2},-0.0740322,0.0231318,-3.200,"[-4, 4]",estimated
\path{delta_occ_3},0.0393566,0.0228,1.726,"[-4, 4]",estimated
\path{delta_occ_4},0.214559,0.0223344,9.607,"[-4, 4]",estimated
\path{beta_c},2.10172,0.293879,7.152,"[0.05, 50]",estimated
