Coordinate,Estimate,CR1 s.e.,z,Box,Status
\path{beta_l0_sm},8.51993,3.54798,2.401,"[0.05, 50]",estimated
\path{beta_l_age_sm},1.48195,1.02361,1.448,"[-5, 5]",estimated
\path{beta_l_age2_sm},0.778284,0.773158,1.007,"[-1, 1]",estimated
\path{theta_l_sm},-1.62627,0.330058,-4.927,"[-8, 0.95]",estimated
\path{beta_l0_sf},5.86829,2.13459,2.749,"[0.05, 50]",estimated
\path{beta_l_age_sf},0.0677662,0.479217,0.141,"[-5, 5]",estimated
\path{beta_l_age2_sf},1,--,--,"[-1, 1]",at bound
\path{beta_l_nkids_sf},0.166636,0.442236,0.377,"[-5, 5]",estimated
\path{theta_l_sf},-0.927353,0.216128,-4.291,"[-8, 0.95]",estimated
\path{beta_E},-3.17353,0.405337,-7.829,"[-25, 25]",estimated
\path{beta_h_pt1},0.0297672,0.197247,0.151,"[-10, 10]",estimated
\path{beta_h_pt2},0.707971,0.192788,3.672,"[-10, 10]",estimated
\path{beta_h_ft},1.93873,0.0996968,19.446,"[-10, 10]",estimated
\path{beta_h_lh},-0.0833752,0.177201,-0.471,"[-10, 10]",estimated
\path{beta_E_gsur},-1.44224,0.235591,-6.122,"[-10, 10]",estimated
\path{beta_E_drgn2},-0.377963,0.32925,-1.148,"[-10, 10]",estimated
\path{beta_E_drgn3},-0.111713,0.38912,-0.287,"[-10, 10]",estimated
\path{beta_E_drgn4},-0.821813,0.380963,-2.157,"[-10, 10]",estimated
\path{beta_E_drgn5},-0.516158,0.327362,-1.577,"[-10, 10]",estimated
\path{beta_E_drgn6},-0.722159,0.35278,-2.047,"[-10, 10]",estimated
\path{beta_E_drgn7},-0.537369,0.350308,-1.534,"[-10, 10]",estimated
\path{beta_E_drgn8},-0.45119,0.340074,-1.327,"[-10, 10]",estimated
\path{beta_E_drgur},-0.0287689,0.220916,-0.130,"[-10, 10]",estimated
\path{beta_E_drgmd},0.064133,0.261352,0.245,"[-10, 10]",estimated
\path{beta_occ_2_m},-1.37371,0.158147,-8.686,"[-15, 15]",estimated
\path{beta_occ_3_m},-2.10963,0.202248,-10.431,"[-15, 15]",estimated
\path{beta_occ_4_m},-0.325897,0.121341,-2.686,"[-15, 15]",estimated
\path{beta_occ_2_f},0.113492,0.137399,0.826,"[-15, 15]",estimated
\path{beta_occ_3_f},-0.406009,0.144045,-2.819,"[-15, 15]",estimated
\path{beta_occ_4_f},0.563216,0.122467,4.599,"[-15, 15]",estimated
\path{beta_w0},2.01382,0.0560922,35.902,"[-10, 20]",estimated
\path{beta_w_educL},0.0566261,0.0372485,1.520,"[-5, 5]",estimated
\path{beta_w_educH},0.149054,0.0308408,4.833,"[-5, 5]",estimated
\path{beta_w_pexp},0.24077,0.0862223,2.792,"[-1, 1]",estimated
\path{beta_w_pexp2},-0.0281739,0.0389905,-0.723,"[-0.1, 0.1]",estimated
\path{sigma},0.381505,0.0132752,28.738,"[0.1, 20]",estimated
\path{delta_occ_2},-0.0347155,0.039899,-0.870,"[-4, 4]",estimated
\path{delta_occ_3},0.0622139,0.0382749,1.625,"[-4, 4]",estimated
\path{delta_occ_4},0.278494,0.0367705,7.574,"[-4, 4]",estimated
\path{beta_h_f35},2.06556,0.0894479,23.092,"[-10, 10]",estimated
\path{beta_c},2.03873,0.291729,6.988,"[0.05, 50]",estimated
