Screen,Single-adult,Couple
the raw France 2016 input file,"4,038","5,965"
one- or two-adult households (composition screen),"4,038","5,965"
every adult aged 20 to 60,"2,131","3,662"
no adult still in education,"2,036","3,521"
"no old-age, disability or survivor pension receipt","1,755","3,218"
labour status in scope,"1,598","2,412"
no other employable or earning member,"1,564","2,323"
observed hours and wage inside the calibrated support,"1,555","2,275"
"hours outside [5,70] or unsupported military occupation (ISCO 0) on an employed decider","1,543","2,223"
observed chosen alternative priced at non-positive disposable consumption,"1,540","2,223"
**Estimation sample**,"**1,540**","**2,223**"
