Scale,Coalition,"I(S), Gini",Change from actual,MC range (min–max)
unequivalised,Actual (no equalization),0.2035,+0.0000,0.1936–0.2144
unequivalised,P,0.1956,-0.0079,0.1858–0.2059
unequivalised,A,0.2025,-0.0010,0.1938–0.2140
unequivalised,B,0.1892,-0.0143,0.1803–0.2018
unequivalised,P + A,0.1946,-0.0089,0.1844–0.2046
unequivalised,P + B,0.1842,-0.0193,0.1742–0.1962
unequivalised,A + B,0.1883,-0.0152,0.1796–0.2000
unequivalised,P + A + B,0.1834,-0.0201,0.1731–0.1944
equivalised,Actual (no equalization),0.1971,+0.0000,0.1871–0.2075
equivalised,P,0.1969,-0.0002,0.1873–0.2069
equivalised,A,0.1963,-0.0008,0.1869–0.2055
equivalised,B,0.1887,-0.0084,0.1789–0.1998
equivalised,P + A,0.1961,-0.0010,0.1861–0.2049
equivalised,P + B,0.1927,-0.0044,0.1829–0.2039
equivalised,A + B,0.1880,-0.0091,0.1775–0.1985
equivalised,P + A + B,0.1921,-0.0050,0.1821–0.2033
