Scale,Coalition,"I(S), Gini",Change from actual,MC range (min–max)
unequivalised,Actual (no equalization),0.2337,+0.0000,0.2203–0.2509
unequivalised,P,0.2326,-0.0011,0.2180–0.2491
unequivalised,A,0.2319,-0.0018,0.2178–0.2480
unequivalised,B,0.2298,-0.0039,0.2148–0.2452
unequivalised,P + A,0.2310,-0.0027,0.2177–0.2478
unequivalised,P + B,0.2282,-0.0054,0.2138–0.2437
unequivalised,A + B,0.2282,-0.0055,0.2135–0.2411
unequivalised,P + A + B,0.2268,-0.0069,0.2127–0.2431
equivalised,Actual (no equalization),0.2451,+0.0000,0.2284–0.2663
equivalised,P,0.2456,+0.0005,0.2304–0.2647
equivalised,A,0.2436,-0.0014,0.2264–0.2631
equivalised,B,0.2419,-0.0032,0.2264–0.2592
equivalised,P + A,0.2443,-0.0008,0.2304–0.2624
equivalised,P + B,0.2418,-0.0033,0.2263–0.2594
equivalised,A + B,0.2405,-0.0046,0.2245–0.2582
equivalised,P + A + B,0.2406,-0.0045,0.2248–0.2580
