Population,Scale,Factor,Label,Gini-point contribution,Share of $\Delta I$,Second-seed Gini-point
Single-adult,unequivalised,P,Preferences (systematic utility heterogeneity),+0.0012,—,+0.0011
Single-adult,unequivalised,A,"Local access shifters (region, urban/rural, year)",+0.0016,23.4%,+0.0017
Single-adult,unequivalised,B,Earning opportunities,+0.0040,58.6%,+0.0042
Single-adult,unequivalised,$\Delta I$,"I(actual) $-$ I(P,A,B equalized)",+0.0069,100.0%,+0.0071
Single-adult,equivalised,P,Preferences (systematic utility heterogeneity),-0.0003,—,-0.0004
Single-adult,equivalised,A,"Local access shifters (region, urban/rural, year)",+0.0013,29.6%,+0.0014
Single-adult,equivalised,B,Earning opportunities,+0.0034,77.4%,+0.0038
Single-adult,equivalised,$\Delta I$,"I(actual) $-$ I(P,A,B equalized)",+0.0045,100.0%,+0.0049
Couple,unequivalised,P,Preferences (systematic utility heterogeneity),+0.0064,—,+0.0065
Couple,unequivalised,A,"Local access shifters (region, urban/rural, year)",+0.0009,4.6%,+0.0009
Couple,unequivalised,B,Earning opportunities,+0.0128,63.5%,+0.0127
Couple,unequivalised,$\Delta I$,"I(actual) $-$ I(P,A,B equalized)",+0.0201,100.0%,+0.0201
Couple,equivalised,P,Preferences (systematic utility heterogeneity),-0.0019,—,-0.0019
Couple,equivalised,A,"Local access shifters (region, urban/rural, year)",+0.0007,14.6%,+0.0008
Couple,equivalised,B,Earning opportunities,+0.0062,124.0%,+0.0061
Couple,equivalised,$\Delta I$,"I(actual) $-$ I(P,A,B equalized)",+0.0050,100.0%,+0.0050
