Unit,Moment,Observed,Model,Absolute deviation,Denominator
Household,Joint regime neither works,0.0222,0.0043,0.0178,households
Household,Joint regime man only,0.0794,0.0909,0.0115,households
Household,Joint regime woman only,0.0547,0.0723,0.0176,households
Household,Joint regime both work,0.8437,0.8324,0.0113,households
Man,Employment,0.9231,0.9234,0.0002,households
Man,Hours: non-employment,0.0769,0.0766,0.0002,households
Man,"Structural PT1: [18.5, 21.5)",0.0037,0.0041,0.0004,households
Man,"Structural PT2: [29.5, 30.5)",0.0093,0.0094,0.0002,households
Man,"Hours: [33.5, 36.5)",0.2515,0.2507,0.0008,households
Man,"Observed 37-hour mass point: [36.5, 37.5)",0.0539,0.0098,0.0441,households
Man,"Structural FT: [37.5, 40.5]",0.2736,0.2682,0.0054,households
Man,"Hours: [44.5, 70]",0.2576,0.2531,0.0044,households
Man,Occupation group 1,0.3519,0.3516,0.0003,workers
Man,Occupation group 2,0.0797,0.0741,0.0056,workers
Man,Occupation group 3,0.0464,0.0412,0.0052,workers
Man,Occupation group 4,0.5220,0.5331,0.0111,workers
Man,Mean log wage,2.7687,2.7054,0.0633,workers
Woman,Employment,0.8984,0.9047,0.0063,households
Woman,Hours: non-employment,0.1016,0.0953,0.0063,households
Woman,"Structural PT1: [18.5, 21.5)",0.0229,0.0230,0.0001,households
Woman,"Structural PT2: [29.5, 30.5)",0.0419,0.0439,0.0020,households
Woman,"Hours: [33.5, 36.5)",0.2687,0.2767,0.0080,households
Woman,"Observed 37-hour mass point: [36.5, 37.5)",0.0785,0.0134,0.0651,households
Woman,"Structural FT: [37.5, 40.5]",0.2008,0.1938,0.0070,households
Woman,"Hours: [44.5, 70]",0.1079,0.1002,0.0077,households
Woman,Occupation group 1,0.1653,0.1648,0.0005,workers
Woman,Occupation group 2,0.1922,0.2017,0.0095,workers
Woman,Occupation group 3,0.1533,0.1583,0.0050,workers
Woman,Occupation group 4,0.4892,0.4752,0.0140,workers
Woman,Mean log wage,2.6072,2.6319,0.0247,workers
