occurrence_id,surface,location,rendered,parsed_value,decimals,percent,context,family_hint,quantity_id,source,source_value,source_scale,tolerance,unit,weighting,status,note
deck-p-00001,deck,pdf-line-11,17,17.0,0,False,Seminar of 17 September. Welfare content is presented under ruling R6; DECOMP-2 is preliminary model-based,DECOMP,DECOMP:MNL_decomp/outputs/welfare/preseminar_pab_v1/coalition_values_couples.csv:row=9:mc_min,MNL_decomp/outputs/welfare/preseminar_pab_v1/coalition_values_couples.csv,0.17306483693485716,100.0,0.5,unequivalised,,PASS,parsed signed value; |display-source|=0.306 <= 0.5
deck-p-00002,deck,pdf-line-11,2,2.0,0,False,Seminar of 17 September. Welfare content is presented under ruling R6; DECOMP-2 is preliminary model-based,DECOMP,DECOMP:MNL_decomp/outputs/welfare/preseminar_pab_v1/anchor_attainment_shares_v1.csv:row=3:mc_min,MNL_decomp/outputs/welfare/preseminar_pab_v1/anchor_attainment_shares_v1.csv,0.019107274845816796,100.0,0.5,,,PASS,parsed signed value; |display-source|=0.0893 <= 0.5
deck-p-00003,deck,pdf-line-68,2 048,2048.0,0,False," Fit diagnostics use a separate, larger panel: 2 048 common quadrature nodes per",POSFIT,NODE:MNL_posfit/outputs/posfit_node_convergence_v1/primary_power_of_two_convergence.csv:row=13:node_count,MNL_posfit/outputs/posfit_node_convergence_v1/primary_power_of_two_convergence.csv,2048.0,1.0,0.5,,,PASS,parsed signed value; |display-source|=0 <= 0.5
deck-p-00004,deck,pdf-line-134,6253.463,6253.463,3,False,objective at θ̂             6253.463     10283.034,S11,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json:results.SINGLES.negll,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json,6253.463074379619,1.0,0.0005,,,PASS,parsed signed value; |display-source|=7.44e-05 <= 0.0005
deck-p-00005,deck,pdf-line-134,10283.034,10283.034,3,False,objective at θ̂             6253.463     10283.034,S11,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json:results.COUPLES.negll,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json,10283.03436935076,1.0,0.0005,,,PASS,parsed signed value; |display-source|=0.000369 <= 0.0005
deck-p-00006,deck,pdf-line-235,1.96,1.96,2,False,"S11 singles, log access index; bars are 1.96 x CR1 robust s.e.",POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=1156:simulated_mean,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,0.019630072330597857,100.0,0.005,,weighted,PASS,parsed signed value; |display-source|=0.00301 <= 0.005
deck-p-00007,deck,pdf-line-238,1.96,1.96,2,False,S11 singles; horizontal bars are 1.96 × CR1 cluster-robust standard errors. Structural and model-conditional;,S11,DECOMP:MNL_decomp/outputs/welfare/preseminar_pab_v1/coalition_values_couples.csv:row=11:mc_range,MNL_decomp/outputs/welfare/preseminar_pab_v1/coalition_values_couples.csv,0.01961388759862759,100.0,0.005,equivalised,,PASS,parsed signed value; |display-source|=0.00139 <= 0.005
deck-p-00008,deck,pdf-line-322,1 766,1766.0,0,False,weighted mean             1 766         1 302,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_mean,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1766.4864931555696,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.486 <= 0.5
deck-p-00009,deck,pdf-line-322,1 302,1302.0,0,False,weighted mean             1 766         1 302,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_mean,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1302.0715759810155,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.0716 <= 0.5
deck-p-00010,deck,pdf-line-323,1 588,1588.0,0,False,weighted median           1 588         1 165,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_median,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1588.2908803476698,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.291 <= 0.5
deck-p-00011,deck,pdf-line-323,1 165,1165.0,0,False,weighted median           1 588         1 165,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_median,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,1165.1408573494155,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.141 <= 0.5
deck-p-00012,deck,pdf-line-324,0.263292,0.263292,6,False,weighted Gini         0.263292      0.249807,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,0.26329154083246864,1.0,5e-07,,,PASS,parsed signed value; |display-source|=4.59e-07 <= 5e-07
deck-p-00013,deck,pdf-line-324,0.249807,0.249807,6,False,weighted Gini         0.263292      0.249807,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/singles_equivalised_reporting_v1.json,0.24980721054552937,1.0,5e-07,,,PASS,parsed signed value; |display-source|=2.11e-07 <= 5e-07
deck-p-00014,deck,pdf-line-343,2 245,2245.0,0,False,weighted mean              2 245         1 311,,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/joint_and_intensive_extended_benchmark_bands.csv:row=381:simulated_p025,MNL_posfit/outputs/positive_fit_diagnostics_v3/joint_and_intensive_extended_benchmark_bands.csv,22.450767665078697,100.0,0.5,,weighted,PASS,parsed signed value; |display-source|=0.0768 <= 0.5
deck-p-00015,deck,pdf-line-343,1 311,1311.0,0,False,weighted mean              2 245         1 311,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_mean,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,1310.6149794922967,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.385 <= 0.5
deck-p-00016,deck,pdf-line-344,1 237,1237.0,0,False,weighted median            2 063         1 237,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_median,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,1237.3524675746198,1.0,0.5,,,PASS,parsed signed value; |display-source|=0.352 <= 0.5
deck-p-00017,deck,pdf-line-345,0.226805,0.226805,6,False,weighted Gini          0.226805      0.197403,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.C_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,0.22680484110413296,1.0,5e-07,,,PASS,parsed signed value; |display-source|=1.59e-07 <= 5e-07
deck-p-00018,deck,pdf-line-345,0.197403,0.197403,6,False,weighted Gini          0.226805      0.197403,,BASELINE:MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json:equivalised.W_F_eq.dwt_weighted_gini,MNL/outputs/welfare/baseline_f1_equivalised_v1/couples_equivalised_reporting_v1.json,0.19740312655937733,1.0,5e-07,,,PASS,parsed signed value; |display-source|=1.27e-07 <= 5e-07
