bibkey,tier
dagsvikTHEORETICALPRACTICALARGUMENTS2014,T1
dagsvikLaborSupplyChoice2016,T1
aabergeEvaluatingAlternativeRepresentations2009,T1
aabergeDesigningOptimalTaxes2006,T1
aabergeUsingMicroeconometricModel2013,T1
vansoestStructuralModelsFamily1995,T1
beffyLabourSupplyTaxation2019,T1
bhattacharyaNonparametricWelfareAnalysis2015,T1
dagsvikCompensatingVariationHicksian2005,T1
shorrocksDecompositionProceduresDistributional2013,T1
shorrocksInequalityDecompositionFactor1982,T1
ferreiraMEASUREMENTINEQUALITYOPPORTUNITY2011,T1
bourguignonINEQUALITYOPPORTUNITYBRAZIL2007,T1
jacquetHowMuchDoes2026,T1
aabergeAccountingFamilyBackground2012,T1
dagsvikSectoralLabourSupply2006,T2
bloemenModelLabourSupply2000,T2
bloemenJobSearchHours2008,T2
capeauEstimatingSimulatingRandom2015,T2
capeauNonparametricWelfareAnalysis2021,T2
bhattacharyaEmpiricalWelfareAnalysis2018,T2
decosterEmpiricalWelfareAnalysis2015,T2
carpantierEmpiricalWelfareAnalysis2016,T2
bargainWelfareLaborSupply2013,T2
sastreShapleyInequalityDecomposition2002,T2
audolyPractitionersNoteShapleyOwenShorrocks2025,T2
chantreuilInequalityDecompositionValues2013,T2
tidotakengDecompositionsInequalityMeasures2023,T2
checchiInequalityOpportunityItaly2010,T2
vandegaerMeasurementInequalityOpportunity2020,T2
peichlAccountingSpouseWhen2016,T2
mahlerEqualityOpportunityFour2019,T2
hufeMeasuringUnfairInequality2022,T2
bosmansMeasurementInequalityOpportunity2021,T2
bosmansFailureCompensateFailure2025,T2
roemerEqualityOpportunityTheory2016,T2
decancqHappinessEquivalentIncomes2015,T2
fleurbaeyFairIncomeTax2006,T2
fleurbaeyOptimalIncomeTaxation2018,T2
sutherlandEUROMODEuropeanUnion2013,T2
aabergeLaborSupplyResponses2000,T3
aabergeMoreEqualSlices2004,T3
aabergeEmpiricalOptimalIncome2011,T3
bargainInworkPoliciesEurope2006,T3
bargainMakingWorkPay2010,T3
bargainPuttingStructureRD2013,T3
bargainComparingInequalityAversion2014,T3
immervollWelfareReformEuropean2007,T3
saezOptimalIncomeTransfer2002,T3
saezGeneralizedSocialMarginal2016,T3
sherGeneralizedSocialMarginal2024,T3
choneNegativeMarginalTax2010,T3
blundellLabourMarketImpact2000,T3
blundellEarnedIncomeTax2006,T3
blomquistNonparametricEstimationNonlinear2002,T3
kabatekIncomeTaxationLabour2014,T3
peichlAccountingLaborDemand2012,T3
loefflerSensitivityStructuralLabor2018,T3
lofflerStructuralLaborSupply2014,T3
dagsvikCompensatingVariationHicksian2005_dup_check,T3
picchioWelfareEvaluation19862018,T3
jaraPuttingMeasuresIndividual2017,T3
decancqGDPUsingEquivalent2016,T3
fleurbaeyGDPQuestMeasure2009,T3
fleurbaeyInternationalComparisonsLiving2009,T3
durandOECDBetterLife2015,T3
osbergIndexEconomicWell2002,T3
anandMeasuringWelfareLatent2011,T3
beckerQuantityQualityLife2005,T3
almasMeasuringUnfairInequality2011,T3
brunoriInequalityOpportunityIncome2013,T3
brunoriOpportunitySensitivePovertyMeasurement2013,T3
brunoriUpwardDownwardBias2019,T3
palominoChannelsInequalityOpportunity2019,T3
roemerEqualityOpportunityProgress2002,T3
checchiInequalityOpportunityItaly2010_dup_check,T3
fleurbaeyExAnteEx2013,T3
piacquadioFairnessJustificationUtilitarianism2017,T3
masValuingAlternativeWork2017,T3
duroFactorDecompositionCrosscountry1998,T3
rothShapleyValueEssays1988,T3
bourguignonMicrosimulationToolEvaluating2006,T3
chettySufficientStatisticsWelfare2009,T3
cappauGettingTiredWork2015,T3
